interview_id,affiliation,question_number,question,answer
1,고객지원팀,1,"1. 고객 민원 접수 및 응대 과정에서 가장 어려웠던 점은 무엇이었나요? 특히 응대 절차를 무시하거나 막무가내식 요구를 하는 민원인과의 갈등 상황이 있었다면, 그 원인을 어디에 있다고 보시는지, 그리고 그러한 상황을 어떻게 해결하셨는지 설명해주세요.","가장 어려웠던 점은 체납자 분들의 전화번호 수집을 위해 연락했던 업무입니다. 체납자 분들의 기간이 늘어날수록 더 많은 시간을 사용하여 민원처리를 해야하는 부분에서 어려움이 있었고 그에 대한 원인은 체납자 분들의 기본적인 자동이체, 모바일고지의 원활한 신청이 어렵다는 점에서도 원인이 있다고 생각합니다. 이에 문제를 해결하기 위해서 체납자 분들의 명단을 정리하여 최대한의 고객정보를 확보하고 고객 정보 갱신을 위한 전화 및 홍보물 제작 등에 노력을 했던 거 같습니다-!"
1,고객지원팀,2,"2. 전화, 방문 등 민원접수나 현장응대가 해결할 수 없었던 케이스가 있었나요? 그러한 상황에서 동료, 상급자 또는 타 부서의 지원이 필요했던 경험이 있다면, 어떤 절차와 과정을 통해 도움을 요청하고 문제를 해결했는지 상세하게 소개해 주시기 바랍니다. 만약 과정에서 아쉬웠던 점이 있었다면 그 이유도 함께 말씀해주세요.","현장 대응보단 전화를 통한 민원접수에 어려움을 겪는 경우가 있었습니다. 아무래도 전화를 통해 민원을 하시는 경우, 대면보단 빠른 민원처리가 어렵고 고객님께서 궁금해하시는 상황에 대해서 구체적으로 말씀 드리는 것에 한계점울 느끼게 되었습니다. 이에 현장 응대를 원하시는 경우, 최대한 고객민원의 만족도를 높이기 위해 최근 민원 데이터를 분석하여 어떤 것들이 가장 고객님들께서 궁금해하시는 상황인지를 미리 숙지했던 거 같습니다. 또한 전화 응대인 경우, 고객님의 민원 접수 내용을 빠르게 이해하여 신곡하게 민원을 해결해드리고지 노력했습니다."
1,고객지원팀,3,"3. 민원 응대나 현장 방문에 앞서 갈등이 고조되지 않도록 사전에 어떤 준비를 하고 계시나요? 또한, 고객 응대 또는 현장 업무 중 갈등 상황에서 자신의 감정을 효과적으로 관리하는 노하우나 팁이 있다면 소개해주시기 바랍니다.","아무래도 민원 응대는 민원이 오기 전에 고객님들의 불만사항이나 알고자하시는 내용이 무엇인지를 정확하데 파악하는 것이 중요하다고 생각합니다. 그래서 민원 데이터 뿐만 아니라 현장에서 직접 민원 대응을 원하시는 분께 초점을 두어서 깊게 파악하고자 노력하고 있습니다. 고객 응대에 있어 어려움을 겪거나 힘든 상황에서는 고객의 입장에서 먼저 생각하고자 노력하며 최대한 고객과 고객 관리사의 입장으로 감정을 직접 드러내지 않고자 합니다."
1,고객지원팀,4,"4. 고객 민원 접수부터 요금 고지, 검침, 병물 공급 등 현장 업무 진행 과정에서 개선이 필요하다고 여겨지는 절차나 시스템상의 애로사항이 있다면 무엇이 떠오르시나요? 구체적인 개선 방안과 함께 자유롭게 말씀해주세요.","가장 개선해야 할 상황에서는 요금 고지 및 민원 접수에 대한 업무라고 생각합니다. 일단 요금고지인 경우, 고객님들께 요금 고지가 어떠한 정산으로 사용하셨는지에 대한 내용을 구체적으로 전달하는 것도 중요하다고 생각하며 민원 접수인 경우, 전화 응대가 가장 많지만, 현장 대응 외에 할 수 있는 다양한 시스템에 개선으로 더 간편하고 빠른 시간으로 민원 접수를 할 수 있도록 개선이 필요할 거 같습니다."
1,고객지원팀,5,"5. 고객 응대 및 현장 업무 역량 향상에 도움이 된다고 생각하는 교육 또는 자원은 어떤 것들이 있을까요? 실제로 그러한 교육이나 자원을 활용해 본 경험이 있다면 무엇이며, 어떻게 도움이 되었는지 구체적으로 말씀해주세요.","고객 관리사 교육 및 물 교육 워크숍을 통해 고객들에게 어떠한 대응과 태도로 접근해야하는지에 대해 구체적으로 설명하고 우수사례를 전달함으로써 관리사들에게 사기를 증진 시키는 것을 중요하게 생각하여 꾸준한 교육을 진행해야 합니자."
1,고객지원팀,6,"6. 가장 기억에 남는 고객 응대 또는 현장 방문 사례와 그 해결 과정을 소개해 주세요. 특히 고객의 요구(문제 상황)와 욕구(심리적 상태)를 파악하여 문제를 조치하고, 조율하면서 느낀 보람이나 성취감은 어떤 것이었는지 자유롭게 이야기해주세요.","저는 현장 대응에서의 경험이 기억에 남습니다. 고객님께서는 총 2개월에 수도요금이 차이에 대해 의문점이 드셔서 오신 상황이었지만, 고객님에 이야기를 듣고 난 후에 고객 정보를 통한 수도요금 분석 및 요금를 측정한 개월 수가 다름을 이해하시기 쉽도록 설명드린 경험이 있어빠른 대처와 설명으로 고객님의 궁금증을 해결해드린 부분에 만족감을 느꼈습니다!"
1,고객지원팀,7,"7. 지금까지 질문에 응답하시면서 어떤 마음이 드셨는지요? 질문을 통해 알게 된 사실, 느낀 기분, 감정 등 떠오르는 대로 자유롭게 말씀해주세요.","그동안 해왔던 업무를 다시 한번 돌아보게 되며 고객지원팀에 속해 다양한 업무들을 하면서 많은 사람들에게 도움을 줄 수 있는 업무를 했다는 것에 뿌듯했고 앞으로도 부족한 업무에 대해 많이 개선하고 발전하여 고객님들의 만족도릉 높이기 위해 항상 노력하겠습니다."
2,고객지원팀,1,"1. 고객 민원 접수와 응대, 그리고 현장 업무(검침, 병물 공급 등)에서 가장 어려운 점은 무엇인가요? 여러 측면에서 다양한 내용을 말씀해 주세요.","저는 현장보다 고객응대가 더 힘든 것 같아요. 문제는 계속 생기고, 우리는 열심히 해결하려고 하는데 마음이 닿지 않는 것 같아 지칩니다."
2,고객지원팀,2,"2. 민원인이 응대 절차를 무시하거나 현장에서 막무가내 요구를 하는 경우가 많을 텐데요. 그 원인이 어디에 있다고 보시나요? 기억나는 사례와 함께 작성해 주세요.","성격이 문제가 아닐까요? 아니면 나이 많으신 분들은 설명을 해도 안들으시더라구요.. 정말 가까우면 뛰어가서 알려드리고 싶을 정도로 답답할때가 많습니다."
2,고객지원팀,3,"3. 민원 응대나 현장 방문에 앞서 갈등이 고조되지 않도록 사전에 어떤 준비를 하고 계시나요? 자유롭게 작성해 주세요.","일단, 심호흡도 해보고, 저는 성당다니는데 업무 시작하기 전에 기도도 하고 성호경을 그어 마음을 가라앉히기도 해요. 당일 업무 내용을 사전에 살펴보시고 하는데 확실이 여유가 있으면 대응하기가 조금은 나은 것 같아요."
